plate.number,plate.id,well,sample.id,host,sample.name,host.id,treatment,time,individual
1,plate1vf,E01,ac40,Aegilops.cylindrica,Ac.Mock.t7.4,Ac,Mock,t7,4
1,plate1vf,C06,ac41,Aegilops.cylindrica,Ac.Mock.t7.5,Ac,Mock,t7,5
1,plate1vf,C05,ac42,Aegilops.cylindrica,Ac.Zt469.t7.1,Ac,Zt469,t7,1
1,plate1vf,B02,ac43,Aegilops.cylindrica,Ac.Zt469.t7.2,Ac,Zt469,t7,2
1,plate1vf,A07,ac44,Aegilops.cylindrica,Ac.Zt469.t7.3,Ac,Zt469,t7,3
1,plate1vf,C04,ac45,Aegilops.cylindrica,Ac.Zt469.t7.4,Ac,Zt469,t7,4
1,plate1vf,C10,ac46,Aegilops.cylindrica,Ac.Zt469.t7.5,Ac,Zt469,t7,5
1,plate1vf,A02,ac47,Aegilops.cylindrica,Ac.Zt549.t7.1,Ac,Zt549,t7,1
1,plate1vf,A12,ac48,Aegilops.cylindrica,Ac.Zt549.t7.2,Ac,Zt549,t7,2
1,plate1vf,B05,ac49,Aegilops.cylindrica,Ac.Zt549.t7.3,Ac,Zt549,t7,3
1,plate1vf,E11,ac5,Aegilops.cylindrica,Ac.Zt549.t0.1,Ac,Zt549,t0,1
1,plate1vf,D06,ac50,Aegilops.cylindrica,Ac.Zt549.t7.4,Ac,Zt549,t7,4
1,plate1vf,A10,ac51,Aegilops.cylindrica,Ac.Zt549.t7.5,Ac,Zt549,t7,5
1,plate1vf,D03,ac52,Aegilops.cylindrica,Ac.Mock.t11.1,Ac,Mock,t11,1
1,plate1vf,B08,ac53,Aegilops.cylindrica,Ac.Mock.t11.2,Ac,Mock,t11,2
1,plate1vf,A09,ac54,Aegilops.cylindrica,Ac.Mock.t11.3,Ac,Mock,t11,3
1,plate1vf,A03,ac55,Aegilops.cylindrica,Ac.Mock.t11.4,Ac,Mock,t11,4
1,plate1vf,B12,ac56,Aegilops.cylindrica,Ac.Mock.t11.5,Ac,Mock,t11,5
1,plate1vf,B01,ac57,Aegilops.cylindrica,Ac.Zt469.t11.1,Ac,Zt469,t11,1
1,plate1vf,A08,ac58,Aegilops.cylindrica,Ac.Zt469.t11.2,Ac,Zt469,t11,2
