domain	phylum	class	order	family	genus	otu.id
OTU_216	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Microbacterium	OTU_216
OTU_217	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_217
OTU_221	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Edaphobaculum	OTU_221
OTU_224	d:Bacteria	p:Bacteroidota	c:Cytophagia	o:Cytophagales	f:Spirosomaceae	g:Dyadobacter	OTU_224
OTU_225	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_225
OTU_226	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Rhizobiaceae	g:Rhizobium	OTU_226
OTU_228	d:Bacteria	p:Actinomycetota	NA	NA	NA	NA	OTU_228
OTU_229	d:Bacteria	p:Chloroflexota	c:Ktedonobacteria	o:Ktedonobacterales	f:Reticulibacteraceae	g:Reticulibacter	OTU_229
OTU_230	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Isosphaerales	f:Isosphaeraceae	NA	OTU_230
OTU_231	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_231
OTU_238	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_238
OTU_239	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Planctomycetales	f:Planctomycetaceae	NA	OTU_239
OTU_243	d:Bacteria	p:Bacillota	c:Bacillota_incertae_sedis	o:Bacillota_incertae_sedis	f:Bacillota_incertae_sedis	NA	OTU_243
OTU_244	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_244
OTU_245	d:Bacteria	p:Actinomycetota	c:Acidimicrobiia	o:Acidimicrobiales	f:Iamiaceae	NA	OTU_245
OTU_247	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	OTU_247
OTU_248	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp2	o:Acidobacteria_Gp2_incertae_sedis	f:Acidobacteria_Gp2_incertae_sedis	g:Gp2	OTU_248
OTU_252	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Herbaspirillum	OTU_252
OTU_254	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_254
OTU_255	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	OTU_255
OTU_257	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Chromatiales	f:Chromatiaceae	g:Rheinheimera	OTU_257
OTU_259	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Nitrosomonadales	f:Methylophilaceae	g:Methylophilus	OTU_259
OTU_260	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Ramlibacter	OTU_260
OTU_261	d:Bacteria	p:Bacteroidota	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Sphingobacterium	OTU_261
OTU_262	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	OTU_262
OTU_264	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Bacillaceae	NA	OTU_264
OTU_265	d:Bacteria	NA	NA	NA	NA	NA	OTU_265
OTU_266	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_266
OTU_267	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Isosphaerales	f:Isosphaeraceae	g:Paludisphaera	OTU_267
OTU_270	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Devosiaceae	g:Devosia	OTU_270
OTU_271	d:Bacteria	p:Actinomycetota	NA	NA	NA	NA	OTU_271
OTU_272	d:Bacteria	p:Actinomycetota	NA	NA	NA	NA	OTU_272
OTU_275	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_275
OTU_280	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Rhodobacterales	f:Paracoccaceae	g:Paracoccus	OTU_280
OTU_282	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	g:Simplicispira	OTU_282
OTU_284	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Alcaligenaceae	g:Achromobacter	OTU_284
OTU_285	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Paenibacillaceae	g:Paenibacillus	OTU_285
OTU_289	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	NA	NA	OTU_289
OTU_290	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_290
OTU_293	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_293
OTU_295	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Caulobacter	OTU_295
OTU_296	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Cellvibrionales	f:Cellvibrionaceae	g:Cellvibrio	OTU_296
OTU_300	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Aeromicrobium	OTU_300
OTU_301	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Rhodospirillales	f:Reyranellaceae	g:Reyranella	OTU_301
OTU_302	d:Bacteria	p:Bacteroidota	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Pedobacter	OTU_302
OTU_303	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp16	o:Acidobacteria_Gp16_incertae_sedis	f:Acidobacteria_Gp16_incertae_sedis	g:Gp16	OTU_303
OTU_304	d:Bacteria	p:Actinomycetota	NA	NA	NA	NA	OTU_304
OTU_306	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Weeksellaceae	g:Chryseobacterium	OTU_306
OTU_309	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Bradyrhizobiaceae	g:Rhodopseudomonas	OTU_309
OTU_310	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	NA	OTU_310
OTU_311	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp6	o:Acidobacteria_Gp6_incertae_sedis	f:Acidobacteria_Gp6_incertae_sedis	g:Gp6	OTU_311
OTU_315	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Thermomonas	OTU_315
OTU_316	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Bacillaceae	NA	OTU_316
OTU_317	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_317
OTU_318	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	NA	OTU_318
OTU_323	d:Bacteria	p:Verrucomicrobiota	c:Spartobacteria	o:Spartobacteria_incertae_sedis	f:Spartobacteria_incertae_sedis	g:Spartobacteria_genera_incertae_sedis	OTU_323
OTU_324	d:Bacteria	NA	NA	NA	NA	NA	OTU_324
OTU_325	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Paenibacillaceae	g:Paenibacillus	OTU_325
OTU_327	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_327
OTU_329	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp6	o:Acidobacteria_Gp6_incertae_sedis	f:Acidobacteria_Gp6_incertae_sedis	g:Gp6	OTU_329
OTU_331	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_331
OTU_332	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_332
OTU_333	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Isosphaerales	f:Isosphaeraceae	g:Singulisphaera	OTU_333
OTU_334	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_334
OTU_338	d:Bacteria	NA	NA	NA	NA	NA	OTU_338
OTU_339	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_339
OTU_341	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_341
OTU_342	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Legionellales	f:Legionellaceae	g:Legionella	OTU_342
OTU_344	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_344
OTU_345	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Propionibacteriales	f:Propionibacteriaceae	g:Microlunatus	OTU_345
OTU_347	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_347
OTU_348	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Phyllobacteriaceae	g:Mesorhizobium	OTU_348
OTU_355	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp4	o:Acidobacteria_Gp4_incertae_sedis	f:Acidobacteria_Gp4_incertae_sedis	g:Gp4	OTU_355
OTU_357	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Pseudonocardiales	f:Pseudonocardiaceae	g:Pseudonocardia	OTU_357
OTU_358	d:Archaea	p:Euryarchaeota	c:Methanobacteria	o:Methanobacteriales	f:Methanobacteriaceae	g:Methanobacterium	OTU_358
OTU_359	d:Bacteria	p:Chlamydiota	c:Chlamydiia	o:Chlamydiales	NA	NA	OTU_359
OTU_365	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Mycobacteriales	f:Corynebacteriaceae	g:Corynebacterium	OTU_365
OTU_366	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_366
OTU_368	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Paenibacillaceae	g:Paenibacillus	OTU_368
OTU_370	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_370
OTU_372	d:Bacteria	NA	NA	NA	NA	NA	OTU_372
OTU_376	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_376
OTU_378	d:Bacteria	NA	NA	NA	NA	NA	OTU_378
OTU_379	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_379
OTU_380	d:Bacteria	p:Verrucomicrobiota	c:Opitutia	o:Opitutales	f:Opitutaceae	NA	OTU_380
OTU_381	d:Bacteria	p:Bacteroidota	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_381
OTU_383	d:Bacteria	p:Bacteroidota	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	NA	OTU_383
OTU_384	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_384
OTU_388	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Rhodocyclales	f:Azonexaceae	g:Ferribacterium	OTU_388
OTU_391	d:Archaea	p:Nitrososphaerota	c:Nitrososphaeria	o:Nitrososphaerales	f:Nitrososphaeraceae	g:Nitrososphaera	OTU_391
OTU_392	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	OTU_392
OTU_393	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Dermacoccaceae	g:Flexivirga	OTU_393
OTU_394	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Moraxellaceae	g:Moraxella	OTU_394
OTU_395	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Micrococcus	OTU_395
OTU_396	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Beijerinckiaceae	g:Methylocapsa	OTU_396
OTU_399	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_399
OTU_400	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Promicromonosporaceae	g:Xylanimonas	OTU_400
OTU_401	d:Bacteria	NA	NA	NA	NA	NA	OTU_401
OTU_402	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_402
OTU_403	d:Bacteria	p:Actinomycetota	c:Rubrobacteria	o:Rubrobacterales	f:Rubrobacteraceae	g:Rubrobacter	OTU_403
OTU_405	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Kaistiaceae	g:Kaistia	OTU_405
OTU_410	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Hyphomicrobiaceae	g:Rhodomicrobium	OTU_410
OTU_412	d:Bacteria	p:Bacillota	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	OTU_412
OTU_413	d:Bacteria	p:Pseudomonadota	c:Betaproteobacteria	NA	NA	NA	OTU_413
OTU_414	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Alicyclobacillaceae	g:Alicyclobacillus	OTU_414
OTU_417	d:Bacteria	p:Bacillota	c:Clostridia	o:Eubacteriales	f:Peptococcaceae	g:Desulfosporosinus	OTU_417
OTU_421	d:Bacteria	p:Acidobacteriota	c:Acidobacteria_Gp6	o:Acidobacteria_Gp6_incertae_sedis	f:Acidobacteria_Gp6_incertae_sedis	g:Gp6	OTU_421
OTU_424	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Pirellulales	NA	NA	OTU_424
OTU_425	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Gemmatales	f:Gemmataceae	g:Gemmata	OTU_425
OTU_427	d:Bacteria	p:Actinomycetota	c:Acidimicrobiia	o:Acidimicrobiales	f:Ilumatobacteraceae	NA	OTU_427
OTU_428	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_428
OTU_429	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	NA	NA	OTU_429
OTU_430	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Rhodospirillales	f:Geminicoccaceae	NA	OTU_430
OTU_431	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Boseaceae	g:Bosea	OTU_431
OTU_432	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Nevskiales	f:Steroidobacteraceae	g:Povalibacter	OTU_432
OTU_433	d:Bacteria	p:Cyanobacteriota	NA	NA	NA	NA	OTU_433
OTU_434	d:Bacteria	p:Bacteroidota	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Albibacterium	OTU_434
OTU_436	d:Bacteria	p:Bacteroidota	c:Flavobacteriia	o:Flavobacteriales	f:Flavobacteriaceae	g:Flavobacterium	OTU_436
OTU_437	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Devosiaceae	g:Devosia	OTU_437
OTU_438	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Asanoa	OTU_438
OTU_439	d:Bacteria	p:Pseudomonadota	NA	NA	NA	NA	OTU_439
OTU_444	d:Archaea	p:Euryarchaeota	c:Methanobacteria	o:Methanobacteriales	f:Methanobacteriaceae	g:Methanobacterium	OTU_444
